trade_id,bot_id,algo_id,ticker,entry_price,exit_price,entry_time,exit_time,entry_trigger_price,exit_trigger_price,entry_trigger_time,exit_trigger_time,trade_size,trade_direction,trade_pnl,trade_status
1,4,,TSLA,346.23,346.85,2025-02-11 20:50:31.625626,2025-02-11 20:50:42.884448,,346.85,,2025-02-11 20:50:42.884448,10000.00,SHORT,-0.62,closed
2,4,,TSLA,346.26,346.63,2025-02-11 20:50:53.903746,2025-02-11 20:51:50.749822,,346.63,,2025-02-11 20:51:50.749822,10000.00,SHORT,-0.37,closed
3,4,,TSLA,346.24,346.87,2025-02-11 20:52:05.441612,2025-02-11 20:52:31.176666,,346.87,,2025-02-11 20:52:31.176666,10000.00,SHORT,-0.63,closed
4,4,,TSLA,346.27,346.60,2025-02-11 20:52:43.419923,2025-02-11 20:53:19.724613,,346.60,,2025-02-11 20:53:19.724613,10000.00,SHORT,-0.33,closed
5,4,,TSLA,346.23,346.74,2025-02-11 20:54:17.433371,2025-02-11 20:54:32.702726,,346.74,,2025-02-11 20:54:32.702726,10000.00,SHORT,-0.51,closed
6,4,,TSLA,346.39,345.85,2025-02-11 20:54:43.908246,2025-02-11 20:57:13.680965,,345.85,,2025-02-11 20:57:13.680965,10000.00,SHORT,0.54,closed
7,4,,TSLA,345.59,344.77,2025-02-11 20:57:28.705981,2025-02-11 21:00:12.746352,,344.77,,2025-02-11 21:00:12.746352,10000.00,SHORT,0.82,closed
8,3,,TSLA,345.67,344.73,2025-02-11 20:58:25.798461,2025-02-11 20:58:55.995470,,344.73,,2025-02-11 20:58:55.995470,10000.00,LONG,-9400.00,closed
9,3,,TSLA,345.14,344.40,2025-02-11 21:00:15.251288,2025-02-11 21:00:44.561795,,344.40,,2025-02-11 21:00:44.561795,10000.00,LONG,-7400.00,closed
10,3,,TSLA,344.58,344.64,2025-02-11 21:00:55.985320,2025-02-11 21:02:21.200888,,344.64,,2025-02-11 21:02:21.200888,10000.00,LONG,600.00,closed
11,4,,TSLA,344.54,345.15,2025-02-11 21:01:01.604503,2025-02-11 21:01:35.106130,,345.15,,2025-02-11 21:01:35.106130,10000.00,SHORT,-0.61,closed
12,4,,TSLA,344.77,343.20,2025-02-11 21:02:20.694657,2025-02-11 21:06:06.373981,,343.20,,2025-02-11 21:06:06.373981,10000.00,SHORT,1.57,closed
13,3,,COIN,278.18,277.70,2025-02-11 21:02:36.203483,2025-02-11 21:03:36.155103,,277.70,,2025-02-11 21:03:36.155103,10000.00,LONG,-0.48,closed
14,2,,COIN,277.88,277.95,2025-02-11 21:03:12.681579,2025-02-11 21:04:09.795840,,277.95,,2025-02-11 21:04:09.795840,10000.00,SHORT,-0.07,closed
15,2,,COIN,277.59,276.85,2025-02-11 21:04:13.812964,2025-02-11 21:05:07.264106,,276.85,,2025-02-11 21:05:07.264106,10000.00,SHORT,0.74,closed
16,3,,TSLA,343.24,342.63,2025-02-11 21:04:35.840452,2025-02-11 21:05:23.535981,,342.63,,2025-02-11 21:05:23.535981,10000.00,LONG,-6100.00,closed
17,2,,COIN,276.13,276.56,2025-02-11 21:05:18.532632,2025-02-11 21:06:06.120968,,276.56,,2025-02-11 21:06:06.120968,10000.00,SHORT,-0.43,closed
18,3,,TSLA,343.07,342.66,2025-02-11 21:05:28.554327,2025-02-11 21:08:03.325419,,342.66,,2025-02-11 21:08:03.325419,10000.00,LONG,-4100.00,closed
19,3,,COIN,276.51,276.11,2025-02-11 21:06:14.135729,2025-02-11 21:06:18.639233,,276.11,,2025-02-11 21:06:18.639233,10000.00,LONG,-0.40,closed
20,4,,TSLA,342.87,342.94,2025-02-11 21:06:17.386671,2025-02-11 21:09:05.444804,,342.94,,2025-02-11 21:09:05.444804,10000.00,SHORT,-0.07,closed
21,3,,COIN,276.70,276.13,2025-02-11 21:06:20.146231,2025-02-11 21:06:40.321715,,276.13,,2025-02-11 21:06:40.321715,10000.00,LONG,-0.57,closed
22,2,,COIN,276.39,276.75,2025-02-11 21:06:27.409485,2025-02-11 21:06:44.356186,,276.75,,2025-02-11 21:06:44.356186,10000.00,SHORT,-0.36,closed
23,3,,COIN,276.56,276.00,2025-02-11 21:06:43.097690,2025-02-11 21:07:16.908405,,276.00,,2025-02-11 21:07:16.908405,10000.00,LONG,-0.56,closed
24,2,,COIN,276.51,276.13,2025-02-11 21:07:14.906881,2025-02-11 21:09:04.187666,,276.13,,2025-02-11 21:09:04.187666,10000.00,SHORT,0.38,closed
25,3,,COIN,276.54,275.91,2025-02-11 21:07:21.750909,2025-02-11 21:07:46.820643,,275.91,,2025-02-11 21:07:46.820643,10000.00,LONG,-0.63,closed
26,3,,TSLA,342.67,342.51,2025-02-11 21:09:03.179698,2025-02-11 21:09:34.486361,,342.51,,2025-02-11 21:09:34.486361,10000.00,LONG,-1600.00,closed
27,3,,COIN,276.13,276.20,2025-02-11 21:09:04.187666,2025-02-11 21:10:02.575585,,276.20,,2025-02-11 21:10:02.575585,10000.00,LONG,0.07,closed
28,4,,TSLA,342.33,342.77,2025-02-11 21:09:36.994681,2025-02-11 21:11:18.937023,,342.77,,2025-02-11 21:11:18.937023,10000.00,SHORT,-0.44,closed
29,2,,COIN,276.43,275.43,2025-02-11 21:10:08.413797,2025-02-11 21:12:45.694926,,275.43,,2025-02-11 21:12:45.694926,10000.00,SHORT,1.00,closed
30,3,,COIN,276.69,276.02,2025-02-11 21:10:11.422353,2025-02-11 21:10:23.696412,,276.02,,2025-02-11 21:10:23.696412,10000.00,LONG,-0.67,closed
31,3,,TSLA,342.55,341.94,2025-02-11 21:10:35.212939,2025-02-11 21:11:39.972130,,341.94,,2025-02-11 21:11:39.972130,10000.00,LONG,-6100.00,closed
32,3,,COIN,276.32,275.84,2025-02-11 21:11:01.909229,2025-02-11 21:11:23.949229,,275.84,,2025-02-11 21:11:23.949229,10000.00,LONG,-0.48,closed
33,4,,TSLA,342.31,342.63,2025-02-11 21:11:29.962352,2025-02-11 21:12:27.882886,,342.63,,2025-02-11 21:12:27.882886,10000.00,SHORT,-0.32,closed
34,3,,TSLA,342.28,342.25,2025-02-11 21:11:47.990475,2025-02-11 21:13:23.228048,,342.25,,2025-02-11 21:13:23.228048,10000.00,LONG,-300.00,closed
35,3,,COIN,275.41,275.04,2025-02-11 21:12:44.667776,2025-02-11 21:13:09.953682,,275.04,,2025-02-11 21:13:09.953682,10000.00,LONG,-0.37,closed
36,2,,COIN,275.04,275.47,2025-02-11 21:13:09.953682,2025-02-11 21:13:48.081819,,275.47,,2025-02-11 21:13:48.081819,10000.00,SHORT,-0.43,closed
37,4,,TSLA,342.21,342.85,2025-02-11 21:13:21.721832,2025-02-11 21:14:05.129658,,342.85,,2025-02-11 21:14:05.129658,10000.00,SHORT,-0.64,closed
38,3,,COIN,275.23,276.32,2025-02-11 21:13:34.320751,2025-02-11 21:16:34.052354,,276.32,,2025-02-11 21:16:34.052354,10000.00,LONG,1.09,closed
39,2,,COIN,275.11,275.80,2025-02-11 21:13:54.354659,2025-02-11 21:15:01.509859,,275.80,,2025-02-11 21:15:01.509859,10000.00,SHORT,-0.69,closed
40,3,,TSLA,342.86,343.17,2025-02-11 21:14:11.875245,2025-02-11 21:17:12.017043,,343.17,,2025-02-11 21:17:12.017043,10000.00,LONG,3100.00,closed
41,2,,COIN,276.53,276.60,2025-02-11 21:16:31.292644,2025-02-11 21:17:50.335902,,276.60,,2025-02-11 21:17:50.335902,10000.00,SHORT,-0.07,closed
42,3,,COIN,276.80,276.15,2025-02-11 21:16:39.302701,2025-02-11 21:17:00.455067,,276.15,,2025-02-11 21:17:00.455067,10000.00,LONG,-0.65,closed
43,4,,TSLA,343.59,343.85,2025-02-11 21:16:41.053248,2025-02-11 21:19:49.250938,,343.85,,2025-02-11 21:19:49.250938,10000.00,SHORT,-0.26,closed
44,3,,COIN,276.50,276.29,2025-02-11 21:17:46.323725,2025-02-11 21:19:36.510354,,276.29,,2025-02-11 21:19:36.510354,10000.00,LONG,-0.21,closed
45,3,,TSLA,343.69,343.51,2025-02-11 21:18:06.604312,2025-02-11 21:20:47.690802,,343.51,,2025-02-11 21:20:47.690802,10000.00,LONG,-1800.00,closed
46,2,,COIN,276.30,276.79,2025-02-11 21:18:47.664425,2025-02-11 21:19:41.000638,,276.79,,2025-02-11 21:19:41.000638,10000.00,SHORT,-0.49,closed
47,3,,COIN,276.62,276.44,2025-02-11 21:19:39.741216,2025-02-11 21:20:25.309877,,276.44,,2025-02-11 21:20:25.309877,10000.00,LONG,-0.18,closed
48,2,,COIN,276.82,277.01,2025-02-11 21:20:04.027817,2025-02-11 21:20:27.415902,,277.01,,2025-02-11 21:20:27.415902,10000.00,SHORT,-0.19,closed
49,3,,COIN,277.02,276.44,2025-02-11 21:20:27.163670,2025-02-11 21:20:30.916758,,276.44,,2025-02-11 21:20:30.916758,10000.00,LONG,-0.58,closed
50,2,,COIN,276.43,276.86,2025-02-11 21:20:30.416720,2025-02-11 21:20:43.688215,,276.86,,2025-02-11 21:20:43.688215,10000.00,SHORT,-0.43,closed
51,3,,COIN,276.91,276.31,2025-02-11 21:20:35.437780,2025-02-11 21:20:40.455751,,276.31,,2025-02-11 21:20:40.455751,10000.00,LONG,-0.60,closed
52,3,,COIN,276.81,276.23,2025-02-11 21:20:41.433916,2025-02-11 21:20:44.436305,,276.23,,2025-02-11 21:20:44.436305,10000.00,LONG,-0.58,closed
53,4,,TSLA,343.74,343.69,2025-02-11 21:20:43.937059,2025-02-11 21:21:18.432256,,343.69,,2025-02-11 21:21:18.432256,10000.00,SHORT,0.05,closed
54,2,,COIN,276.23,276.48,2025-02-11 21:20:44.436305,2025-02-11 21:21:28.778773,,276.48,,2025-02-11 21:21:28.778773,10000.00,SHORT,-0.25,closed
55,3,,TSLA,344.21,343.62,2025-02-11 21:21:29.026801,2025-02-11 21:22:03.726609,,343.62,,2025-02-11 21:22:03.726609,10000.00,LONG,-5900.00,closed
56,2,,COIN,276.11,276.60,2025-02-11 21:21:33.808871,2025-02-11 21:22:53.055215,,276.60,,2025-02-11 21:22:53.055215,10000.00,SHORT,-0.49,closed
